Labour market region (SA4): ASGS (2011),Date,Percent of part time workers,sa4_code_2011
102 Central Coast,1/8/99,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/99,24.42,115
116 Sydney - Blacktown,1/8/99,42.21,116
117 Sydney - City and Inner South,1/8/99,20.1,117
118 Sydney - Eastern Suburbs,1/8/99,41.99,118
119 Sydney - Inner South West,1/8/99,43.04,119
120 Sydney - Inner West,1/8/99,24.24,120
121 Sydney - North Sydney and Hornsby,1/8/99,42.97,121
122 Sydney - Northern Beaches,1/8/99,53.03,122
123 Sydney - Outer South West,1/8/99,38.47,123
124 Sydney - Outer West and Blue Mountains,1/8/99,21.42,124
125 Sydney - Parramatta,1/8/99,22.48,125
126 Sydney - Ryde,1/8/99,29.04,126
127 Sydney - South West,1/8/99,36.47,127
128 Sydney - Sutherland,1/8/99,16.92,128
101 Capital Region,1/8/99,28.33,101
103 New South Wales - Central West,1/8/99,33.93,103
104 Coffs Harbour - Grafton,1/8/99,30.17,104
105 Far West and Orana,1/8/99,31.09,105
106 Hunter Valley exc Newcastle,1/8/99,39.66,106
107 Illawarra,1/8/99,22.16,107
108 Mid North Coast,1/8/99,28.12,108
109 Murray,1/8/99,31.29,109
110 New England and North West,1/8/99,26.29,110
111 Newcastle and Lake Macquarie,1/8/99,35.55,111
112 Richmond - Tweed,1/8/99,27.39,112
113 Riverina,1/8/99,32.22,113
114 Southern Highlands and Shoalhaven,1/8/99,32.12,114
206 Melbourne - Inner,1/8/99,32.13,206
207 Melbourne - Inner East,1/8/99,47.44,207
208 Melbourne - Inner South,1/8/99,47.55,208
209 Melbourne - North East,1/8/99,41.94,209
210 Melbourne - North West,1/8/99,26.7,210
211 Melbourne - Outer East,1/8/99,22.34,211
212 Melbourne - South East,1/8/99,26.88,212
213 Melbourne - West,1/8/99,22.5,213
214 Mornington Peninsula,1/8/99,21.74,214
201 Ballarat,1/8/99,22.83,201
202 Bendigo,1/8/99,24.54,202
203 Geelong,1/8/99,31.5,203
204 Hume,1/8/99,24.94,204
205 Latrobe - Gippsland,1/8/99,29.97,205
215 Victoria - North West,1/8/99,31.11,215
216 Shepparton,1/8/99,36.16,216
217 Warrnambool and South West,1/8/99,31.63,217
301 Brisbane - East,1/8/99,34.72,301
302 Brisbane - North,1/8/99,28.41,302
303 Brisbane - South,1/8/99,22.01,303
304 Brisbane - West,1/8/99,28.12,304
305 Brisbane Inner City,1/8/99,41.2,305
310 Ipswich,1/8/99,43.04,310
311 Logan - Beaudesert,1/8/99,18.96,311
313 Moreton Bay - North,1/8/99,15.22,313
314 Moreton Bay - South,1/8/99,20.82,314
306 Cairns,1/8/99,28.78,306
307 Darling Downs - Maranoa,1/8/99,25.97,307
308 Fitzroy,1/8/99,32.58,308
309 Gold Coast,1/8/99,25.01,309
312 Mackay,1/8/99,22.01,312
315 Queensland - Outback,1/8/99,21.71,315
316 Sunshine Coast,1/8/99,31.83,316
317 Toowoomba,1/8/99,26.78,317
318 Townsville,1/8/99,24.62,318
319 Wide Bay,1/8/99,29.88,319
401 Adelaide - Central and Hills,1/8/99,27.72,401
402 Adelaide - North,1/8/99,41.82,402
403 Adelaide - South,1/8/99,19.03,403
404 Adelaide - West,1/8/99,29.39,404
405 Barossa - Yorke - Mid North,1/8/99,25.69,405
406 South Australia - Outback,1/8/99,40.86,406
407 South Australia - South East,1/8/99,29.4,407
502 Mandurah,1/8/99,33.79,502
503 Perth - Inner,1/8/99,23.46,503
504 Perth - North East,1/8/99,45.57,504
505 Perth - North West,1/8/99,24.13,505
506 Perth - South East,1/8/99,26.85,506
507 Perth - South West,1/8/99,23.19,507
501 Bunbury,1/8/99,28.21,501
508 Western Australia - Outback,1/8/99,27.48,508
509 Western Australia - Wheat Belt,1/8/99,28.58,509
601 Hobart,1/8/99,36.81,601
602 Launceston and North East,1/8/99,26.1,602
603 Tasmania - South East,1/8/99,25.75,603
604 Tasmania - West and North West,1/8/99,24.12,604
701 Darwin,1/8/99,24.2,701
702 Northern Territory - Outback,1/8/99,29.18,702
801 Australian Capital Territory,1/8/99,24.36,801
102 Central Coast,1/8/00,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/00,26.47,115
116 Sydney - Blacktown,1/8/00,40.89,116
117 Sydney - City and Inner South,1/8/00,17.39,117
118 Sydney - Eastern Suburbs,1/8/00,39.29,118
119 Sydney - Inner South West,1/8/00,45.64,119
120 Sydney - Inner West,1/8/00,25.16,120
121 Sydney - North Sydney and Hornsby,1/8/00,41.32,121
122 Sydney - Northern Beaches,1/8/00,54.47,122
123 Sydney - Outer South West,1/8/00,39.23,123
124 Sydney - Outer West and Blue Mountains,1/8/00,20.17,124
125 Sydney - Parramatta,1/8/00,23.96,125
126 Sydney - Ryde,1/8/00,28.5,126
127 Sydney - South West,1/8/00,47.21,127
128 Sydney - Sutherland,1/8/00,16.05,128
101 Capital Region,1/8/00,31.23,101
103 New South Wales - Central West,1/8/00,33.03,103
104 Coffs Harbour - Grafton,1/8/00,30.86,104
105 Far West and Orana,1/8/00,31.15,105
106 Hunter Valley exc Newcastle,1/8/00,45.8,106
107 Illawarra,1/8/00,22.35,107
108 Mid North Coast,1/8/00,27.5,108
109 Murray,1/8/00,23.4,109
110 New England and North West,1/8/00,27,110
111 Newcastle and Lake Macquarie,1/8/00,36.43,111
112 Richmond - Tweed,1/8/00,24.19,112
113 Riverina,1/8/00,28.82,113
114 Southern Highlands and Shoalhaven,1/8/00,31.21,114
206 Melbourne - Inner,1/8/00,29.97,206
207 Melbourne - Inner East,1/8/00,47.12,207
208 Melbourne - Inner South,1/8/00,43.58,208
209 Melbourne - North East,1/8/00,44.06,209
210 Melbourne - North West,1/8/00,29.08,210
211 Melbourne - Outer East,1/8/00,26.43,211
