Labour market region (SA4): ASGS (2011),date,percent of parttime workers,sa4_code_2011
102 Central Coast,1999-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,1999-08-01,9.46,115
116 Sydney - Blacktown,1999-08-01,6.23,116
117 Sydney - City and Inner South,1999-08-01,7.06,117
118 Sydney - Eastern Suburbs,1999-08-01,9.52,118
119 Sydney - Inner South West,1999-08-01,8.95,119
120 Sydney - Inner West,1999-08-01,7.71,120
121 Sydney - North Sydney and Hornsby,1999-08-01,6.64,121
122 Sydney - Northern Beaches,1999-08-01,6.07,122
123 Sydney - Outer South West,1999-08-01,8.07,123
124 Sydney - Outer West and Blue Mountains,1999-08-01,8.54,124
125 Sydney - Parramatta,1999-08-01,9.14,125
126 Sydney - Ryde,1999-08-01,6.63,126
127 Sydney - South West,1999-08-01,6.80,127
128 Sydney - Sutherland,1999-08-01,5.90,128
101 Capital Region,1999-08-01,9.99,101
103 New South Wales - Central West,1999-08-01,8.00,103
104 Coffs Harbour - Grafton,1999-08-01,7.59,104
105 Far West and Orana,1999-08-01,7.35,105
106 Hunter Valley exc Newcastle,1999-08-01,7.97,106
107 Illawarra,1999-08-01,6.39,107
108 Mid North Coast,1999-08-01,9.51,108
109 Murray,1999-08-01,7.78,109
110 New England and North West,1999-08-01,6.36,110
111 Newcastle and Lake Macquarie,1999-08-01,7.17,111
112 Richmond - Tweed,1999-08-01,7.61,112
113 Riverina,1999-08-01,5.69,113
114 Southern Highlands and Shoalhaven,1999-08-01,6.07,114
206 Melbourne - Inner,1999-08-01,8.54,206
207 Melbourne - Inner East,1999-08-01,8.71,207
208 Melbourne - Inner South,1999-08-01,8.74,208
209 Melbourne - North East,1999-08-01,8.04,209
210 Melbourne - North West,1999-08-01,7.41,210
211 Melbourne - Outer East,1999-08-01,8.57,211
212 Melbourne - South East,1999-08-01,7.20,212
213 Melbourne - West,1999-08-01,6.73,213
214 Mornington Peninsula,1999-08-01,6.36,214
201 Ballarat,1999-08-01,7.48,201
202 Bendigo,1999-08-01,8.83,202
203 Geelong,1999-08-01,12.08,203
