Labour market region (SA4): ASGS (2011),date,percent total workers,sa4_code_2011
102 Central Coast,1999-08-01,0.277,102
115 Sydney - Baulkham Hills and Hawkesbury,1999-08-01,0.3037,115
116 Sydney - Blacktown,1999-08-01,0.2994,116
117 Sydney - City and Inner South,1999-08-01,0.2405,117
118 Sydney - Eastern Suburbs,1999-08-01,0.2802,118
119 Sydney - Inner South West,1999-08-01,0.2991,119
120 Sydney - Inner West,1999-08-01,0.2837,120
121 Sydney - North Sydney and Hornsby,1999-08-01,0.2685,121
122 Sydney - Northern Beaches,1999-08-01,0.3015,122
123 Sydney - Outer South West,1999-08-01,0.2794,123
124 Sydney - Outer West and Blue Mountains,1999-08-01,0.3168,124
125 Sydney - Parramatta,1999-08-01,0.2855,125
126 Sydney - Ryde,1999-08-01,0.3158,126
127 Sydney - South West,1999-08-01,0.2669,127
128 Sydney - Sutherland,1999-08-01,0.3303,128
101 Capital Region,1999-08-01,0.2212,101
103 New South Wales - Central West,1999-08-01,0.2108,103
104 Coffs Harbour - Grafton,1999-08-01,0.2555,104
105 Far West and Orana,1999-08-01,0.1842,105
106 Hunter Valley exc Newcastle,1999-08-01,0.2258,106
107 Illawarra,1999-08-01,0.25,107
108 Mid North Coast,1999-08-01,0.2359,108
109 Murray,1999-08-01,0.2284,109
110 New England and North West,1999-08-01,0.2066,110
111 Newcastle and Lake Macquarie,1999-08-01,0.2899,111
112 Richmond - Tweed,1999-08-01,0.2341,112
113 Riverina,1999-08-01,0.2363,113
114 Southern Highlands and Shoalhaven,1999-08-01,0.2425,114
206 Melbourne - Inner,1999-08-01,0.246,206
207 Melbourne - Inner East,1999-08-01,0.2605,207
208 Melbourne - Inner South,1999-08-01,0.2749,208
209 Melbourne - North East,1999-08-01,0.2894,209
210 Melbourne - North West,1999-08-01,0.3016,210
211 Melbourne - Outer East,1999-08-01,0.2884,211
212 Melbourne - South East,1999-08-01,0.2704,212
213 Melbourne - West,1999-08-01,0.3046,213
214 Mornington Peninsula,1999-08-01,0.2698,214
201 Ballarat,1999-08-01,0.2465,201
202 Bendigo,1999-08-01,0.2094,202
203 Geelong,1999-08-01,0.2553,203
204 Hume,1999-08-01,0.2155,204
205 Latrobe - Gippsland,1999-08-01,0.2242,205
215 Victoria - North West,1999-08-01,0.2001,215
216 Shepparton,1999-08-01,0.212,216
217 Warrnambool and South West,1999-08-01,0.1955,217
301 Brisbane - East,1999-08-01,0.2981,301
302 Brisbane - North,1999-08-01,0.3034,302
303 Brisbane - South,1999-08-01,0.3194,303
304 Brisbane - West,1999-08-01,0.2931,304
305 Brisbane Inner City,1999-08-01,0.2888,305
310 Ipswich,1999-08-01,0.2562,310
311 Logan - Beaudesert,1999-08-01,0.2985,311
313 Moreton Bay - North,1999-08-01,0.2933,313
314 Moreton Bay - South,1999-08-01,0.3034,314
306 Cairns,1999-08-01,0.2598,306
307 Darling Downs - Maranoa,1999-08-01,0.2012,307
308 Fitzroy,1999-08-01,0.1973,308
309 Gold Coast,1999-08-01,0.3157,309
312 Mackay,1999-08-01,0.2448,312
315 Queensland - Outback,1999-08-01,0.1399,315
316 Sunshine Coast,1999-08-01,0.2619,316
317 Toowoomba,1999-08-01,0.2654,317
318 Townsville,1999-08-01,0.2282,318
319 Wide Bay,1999-08-01,0.2085,319
401 Adelaide - Central and Hills,1999-08-01,0.2435,401
402 Adelaide - North,1999-08-01,0.2803,402
403 Adelaide - South,1999-08-01,0.2913,403
404 Adelaide - West,1999-08-01,0.2728,404
405 Barossa - Yorke - Mid North,1999-08-01,0.1588,405
406 South Australia - Outback,1999-08-01,0.1846,406
407 South Australia - South East,1999-08-01,0.1672,407
502 Mandurah,1999-08-01,0.2419,502
503 Perth - Inner,1999-08-01,0.2527,503
504 Perth - North East,1999-08-01,0.2996,504
505 Perth - North West,1999-08-01,0.3112,505
506 Perth - South East,1999-08-01,0.3108,506
507 Perth - South West,1999-08-01,0.2821,507
501 Bunbury,1999-08-01,0.2207,501
508 Western Australia - Outback,1999-08-01,0.2311,508
509 Western Australia - Wheat Belt,1999-08-01,0.1877,509
601 Hobart,1999-08-01,0.318,601
602 Launceston and North East,1999-08-01,0.2415,602
603 Tasmania - South East,1999-08-01,0.1982,603
604 Tasmania - West and North West,1999-08-01,0.2182,604
701 Darwin,1999-08-01,0.2763,701
702 Northern Territory - Outback,1999-08-01,0.2301,702
801 Australian Capital Territory,1999-08-01,0.3159,801
102 Central Coast,2000-08-01,0.2794,102
115 Sydney - Baulkham Hills and Hawkesbury,2000-08-01,0.2965,115
116 Sydney - Blacktown,2000-08-01,0.3219,116
117 Sydney - City and Inner South,2000-08-01,0.2643,117
118 Sydney - Eastern Suburbs,2000-08-01,0.2789,118
119 Sydney - Inner South West,2000-08-01,0.2951,119
120 Sydney - Inner West,2000-08-01,0.2898,120
121 Sydney - North Sydney and Hornsby,2000-08-01,0.2518,121
122 Sydney - Northern Beaches,2000-08-01,0.3192,122
123 Sydney - Outer South West,2000-08-01,0.3076,123
124 Sydney - Outer West and Blue Mountains,2000-08-01,0.3076,124
125 Sydney - Parramatta,2000-08-01,0.2888,125
126 Sydney - Ryde,2000-08-01,0.2747,126
127 Sydney - South West,2000-08-01,0.2711,127
128 Sydney - Sutherland,2000-08-01,0.3227,128
101 Capital Region,2000-08-01,0.2264,101
103 New South Wales - Central West,2000-08-01,0.2439,103
104 Coffs Harbour - Grafton,2000-08-01,0.2459,104
105 Far West and Orana,2000-08-01,0.1474,105
106 Hunter Valley exc Newcastle,2000-08-01,0.2458,106
107 Illawarra,2000-08-01,0.2486,107
108 Mid North Coast,2000-08-01,0.2467,108
109 Murray,2000-08-01,0.1942,109
110 New England and North West,2000-08-01,0.2144,110
111 Newcastle and Lake Macquarie,2000-08-01,0.3097,111
112 Richmond - Tweed,2000-08-01,0.2516,112
113 Riverina,2000-08-01,0.2432,113
114 Southern Highlands and Shoalhaven,2000-08-01,0.2083,114
206 Melbourne - Inner,2000-08-01,0.2502,206
207 Melbourne - Inner East,2000-08-01,0.2832,207
208 Melbourne - Inner South,2000-08-01,0.2767,208
209 Melbourne - North East,2000-08-01,0.2483,209
210 Melbourne - North West,2000-08-01,0.2867,210
211 Melbourne - Outer East,2000-08-01,0.2941,211
212 Melbourne - South East,2000-08-01,0.2766,212
213 Melbourne - West,2000-08-01,0.2671,213
214 Mornington Peninsula,2000-08-01,0.2842,214
201 Ballarat,2000-08-01,0.2274,201
202 Bendigo,2000-08-01,0.2048,202
203 Geelong,2000-08-01,0.2381,203
204 Hume,2000-08-01,0.2672,204
205 Latrobe - Gippsland,2000-08-01,0.2026,205
215 Victoria - North West,2000-08-01,0.1882,215
216 Shepparton,2000-08-01,0.2109,216
217 Warrnambool and South West,2000-08-01,0.1894,217
301 Brisbane - East,2000-08-01,0.3351,301
302 Brisbane - North,2000-08-01,0.3245,302
303 Brisbane - South,2000-08-01,0.3197,303
304 Brisbane - West,2000-08-01,0.2853,304
305 Brisbane Inner City,2000-08-01,0.2815,305
310 Ipswich,2000-08-01,0.2688,310
311 Logan - Beaudesert,2000-08-01,0.2818,311
313 Moreton Bay - North,2000-08-01,0.3615,313
314 Moreton Bay - South,2000-08-01,0.3412,314
306 Cairns,2000-08-01,0.2441,306
307 Darling Downs - Maranoa,2000-08-01,0.2115,307
308 Fitzroy,2000-08-01,0.2412,308
309 Gold Coast,2000-08-01,0.3124,309
312 Mackay,2000-08-01,0.245,312
315 Queensland - Outback,2000-08-01,0.1734,315
316 Sunshine Coast,2000-08-01,0.266,316
317 Toowoomba,2000-08-01,0.2626,317
318 Townsville,2000-08-01,0.2621,318
319 Wide Bay,2000-08-01,0.1991,319
401 Adelaide - Central and Hills,2000-08-01,0.2677,401
402 Adelaide - North,2000-08-01,0.2841,402
403 Adelaide - South,2000-08-01,0.2594,403
404 Adelaide - West,2000-08-01,0.2717,404
405 Barossa - Yorke - Mid North,2000-08-01,0.1762,405
406 South Australia - Outback,2000-08-01,0.2021,406
407 South Australia - South East,2000-08-01,0.1742,407
502 Mandurah,2000-08-01,0.2398,502
503 Perth - Inner,2000-08-01,0.239,503
504 Perth - North East,2000-08-01,0.2877,504
505 Perth - North West,2000-08-01,0.3318,505
506 Perth - South East,2000-08-01,0.2957,506
507 Perth - South West,2000-08-01,0.2738,507
501 Bunbury,2000-08-01,0.2313,501
508 Western Australia - Outback,2000-08-01,0.216,508
509 Western Australia - Wheat Belt,2000-08-01,0.1742,509
601 Hobart,2000-08-01,0.2918,601
602 Launceston and North East,2000-08-01,0.2216,602
603 Tasmania - South East,2000-08-01,0.1952,603
604 Tasmania - West and North West,2000-08-01,0.2275,604
701 Darwin,2000-08-01,0.2886,701
