Labour market region (SA4): ASGS (2011),date,percent total,sa4_code_2011
102 Central Coast,1999-08-01,38.42,102
115 Sydney - Baulkham Hills and Hawkesbury,1999-08-01,21.19,115
116 Sydney - Blacktown,1999-08-01,42.89,116
117 Sydney - City and Inner South,1999-08-01,24.44,117
118 Sydney - Eastern Suburbs,1999-08-01,19.99,118
119 Sydney - Inner South West,1999-08-01,38.13,119
120 Sydney - Inner West,1999-08-01,22.03,120
121 Sydney - North Sydney and Hornsby,1999-08-01,14.05,121
122 Sydney - Northern Beaches,1999-08-01,23.31,122
123 Sydney - Outer South West,1999-08-01,42.10,123
124 Sydney - Outer West and Blue Mountains,1999-08-01,36.69,124
125 Sydney - Parramatta,1999-08-01,35.78,125
126 Sydney - Ryde,1999-08-01,25.15,126
127 Sydney - South West,1999-08-01,50.49,127
128 Sydney - Sutherland,1999-08-01,28.64,128
101 Capital Region,1999-08-01,35.96,101
103 New South Wales - Central West,1999-08-01,41.17,103
104 Coffs Harbour - Grafton,1999-08-01,36.02,104
105 Far West and Orana,1999-08-01,33.95,105
106 Hunter Valley exc Newcastle,1999-08-01,48.86,106
107 Illawarra,1999-08-01,37.37,107
108 Mid North Coast,1999-08-01,37.34,108
109 Murray,1999-08-01,44.52,109
110 New England and North West,1999-08-01,36.62,110
111 Newcastle and Lake Macquarie,1999-08-01,36.01,111
112 Richmond - Tweed,1999-08-01,38.68,112
113 Riverina,1999-08-01,38.18,113
114 Southern Highlands and Shoalhaven,1999-08-01,35.09,114
206 Melbourne - Inner,1999-08-01,19.25,206
207 Melbourne - Inner East,1999-08-01,17.67,207
208 Melbourne - Inner South,1999-08-01,22.53,208
209 Melbourne - North East,1999-08-01,36.95,209
210 Melbourne - North West,1999-08-01,38.92,210
211 Melbourne - Outer East,1999-08-01,37.08,211
212 Melbourne - South East,1999-08-01,43.73,212
213 Melbourne - West,1999-08-01,41.44,213
214 Mornington Peninsula,1999-08-01,42.71,214
201 Ballarat,1999-08-01,41.99,201
202 Bendigo,1999-08-01,35.48,202
203 Geelong,1999-08-01,41.27,203
204 Hume,1999-08-01,40.33,204
205 Latrobe - Gippsland,1999-08-01,38.87,205
215 Victoria - North West,1999-08-01,37.10,215
216 Shepparton,1999-08-01,39.73,216
217 Warrnambool and South West,1999-08-01,38.15,217
301 Brisbane - East,1999-08-01,34.06,301
302 Brisbane - North,1999-08-01,38.41,302
303 Brisbane - South,1999-08-01,31.87,303
304 Brisbane - West,1999-08-01,20.46,304
305 Brisbane Inner City,1999-08-01,19.72,305
310 Ipswich,1999-08-01,45.04,310
311 Logan - Beaudesert,1999-08-01,48.34,311
313 Moreton Bay - North,1999-08-01,41.88,313
314 Moreton Bay - South,1999-08-01,34.48,314
306 Cairns,1999-08-01,37.39,306
307 Darling Downs - Maranoa,1999-08-01,40.66,307
308 Fitzroy,1999-08-01,47.58,308
309 Gold Coast,1999-08-01,35.18,309
312 Mackay,1999-08-01,45.88,312
315 Queensland - Outback,1999-08-01,49.20,315
316 Sunshine Coast,1999-08-01,37.62,316
317 Toowoomba,1999-08-01,40.15,317
318 Townsville,1999-08-01,38.18,318
319 Wide Bay,1999-08-01,44.66,319
401 Adelaide - Central and Hills,1999-08-01,25.41,401
402 Adelaide - North,1999-08-01,44.82,402
403 Adelaide - South,1999-08-01,32.47,403
404 Adelaide - West,1999-08-01,37.99,404
405 Barossa - Yorke - Mid North,1999-08-01,37.06,405
406 South Australia - Outback,1999-08-01,43.04,406
407 South Australia - South East,1999-08-01,44.04,407
502 Mandurah,1999-08-01,44.04,502
503 Perth - Inner,1999-08-01,18.47,503
504 Perth - North East,1999-08-01,38.82,504
505 Perth - North West,1999-08-01,33.94,505
506 Perth - South East,1999-08-01,37.72,506
507 Perth - South West,1999-08-01,35.61,507
501 Bunbury,1999-08-01,45.26,501
508 Western Australia - Outback,1999-08-01,40.95,508
509 Western Australia - Wheat Belt,1999-08-01,38.62,509
601 Hobart,1999-08-01,32.64,601
602 Launceston and North East,1999-08-01,40.91,602
603 Tasmania - South East,1999-08-01,47.59,603
604 Tasmania - West and North West,1999-08-01,46.56,604
701 Darwin,1999-08-01,33.00,701
702 Northern Territory - Outback,1999-08-01,39.47,702
801 Australian Capital Territory,1999-08-01,19.89,801
102 Central Coast,2000-08-01,36.38,102
115 Sydney - Baulkham Hills and Hawkesbury,2000-08-01,22.85,115
116 Sydney - Blacktown,2000-08-01,41.76,116
117 Sydney - City and Inner South,2000-08-01,24.42,117
118 Sydney - Eastern Suburbs,2000-08-01,18.90,118
119 Sydney - Inner South West,2000-08-01,37.68,119
120 Sydney - Inner West,2000-08-01,24.57,120
121 Sydney - North Sydney and Hornsby,2000-08-01,14.48,121
122 Sydney - Northern Beaches,2000-08-01,22.12,122
123 Sydney - Outer South West,2000-08-01,42.64,123
124 Sydney - Outer West and Blue Mountains,2000-08-01,37.39,124
125 Sydney - Parramatta,2000-08-01,34.89,125
126 Sydney - Ryde,2000-08-01,19.95,126
127 Sydney - South West,2000-08-01,50.72,127
128 Sydney - Sutherland,2000-08-01,28.08,128
101 Capital Region,2000-08-01,35.71,101
103 New South Wales - Central West,2000-08-01,37.73,103
104 Coffs Harbour - Grafton,2000-08-01,36.85,104
105 Far West and Orana,2000-08-01,33.15,105
106 Hunter Valley exc Newcastle,2000-08-01,44.94,106
107 Illawarra,2000-08-01,42.36,107
108 Mid North Coast,2000-08-01,41.38,108
109 Murray,2000-08-01,48.72,109
110 New England and North West,2000-08-01,33.28,110
111 Newcastle and Lake Macquarie,2000-08-01,36.42,111
112 Richmond - Tweed,2000-08-01,35.87,112
113 Riverina,2000-08-01,38.03,113
114 Southern Highlands and Shoalhaven,2000-08-01,42.64,114
206 Melbourne - Inner,2000-08-01,20.53,206
207 Melbourne - Inner East,2000-08-01,21.62,207
208 Melbourne - Inner South,2000-08-01,20.83,208
209 Melbourne - North East,2000-08-01,37.07,209
210 Melbourne - North West,2000-08-01,36.17,210
211 Melbourne - Outer East,2000-08-01,35.07,211
212 Melbourne - South East,2000-08-01,42.96,212
213 Melbourne - West,2000-08-01,44.32,213
214 Mornington Peninsula,2000-08-01,39.51,214
201 Ballarat,2000-08-01,36.65,201
202 Bendigo,2000-08-01,37.36,202
203 Geelong,2000-08-01,40.56,203
204 Hume,2000-08-01,36.45,204
205 Latrobe - Gippsland,2000-08-01,37.27,205
215 Victoria - North West,2000-08-01,36.74,215
216 Shepparton,2000-08-01,41.89,216
217 Warrnambool and South West,2000-08-01,40.19,217
301 Brisbane - East,2000-08-01,35.22,301
302 Brisbane - North,2000-08-01,31.83,302
303 Brisbane - South,2000-08-01,30.53,303
304 Brisbane - West,2000-08-01,18.48,304
305 Brisbane Inner City,2000-08-01,22.44,305
310 Ipswich,2000-08-01,45.64,310
311 Logan - Beaudesert,2000-08-01,48.98,311
313 Moreton Bay - North,2000-08-01,39.31,313
314 Moreton Bay - South,2000-08-01,33.54,314
306 Cairns,2000-08-01,38.71,306
307 Darling Downs - Maranoa,2000-08-01,36.45,307
308 Fitzroy,2000-08-01,40.58,308
309 Gold Coast,2000-08-01,36.53,309
312 Mackay,2000-08-01,41.00,312
315 Queensland - Outback,2000-08-01,44.25,315
316 Sunshine Coast,2000-08-01,41.20,316
317 Toowoomba,2000-08-01,37.18,317
318 Townsville,2000-08-01,34.86,318
319 Wide Bay,2000-08-01,42.22,319
401 Adelaide - Central and Hills,2000-08-01,24.80,401
402 Adelaide - North,2000-08-01,42.32,402
403 Adelaide - South,2000-08-01,36.60,403
404 Adelaide - West,2000-08-01,37.16,404
405 Barossa - Yorke - Mid North,2000-08-01,39.63,405
406 South Australia - Outback,2000-08-01,45.13,406
407 South Australia - South East,2000-08-01,45.47,407
502 Mandurah,2000-08-01,47.20,502
503 Perth - Inner,2000-08-01,19.49,503
504 Perth - North East,2000-08-01,36.21,504
505 Perth - North West,2000-08-01,32.97,505
506 Perth - South East,2000-08-01,36.69,506
507 Perth - South West,2000-08-01,34.86,507
501 Bunbury,2000-08-01,47.38,501
508 Western Australia - Outback,2000-08-01,46.34,508
509 Western Australia - Wheat Belt,2000-08-01,38.89,509
601 Hobart,2000-08-01,32.32,601
602 Launceston and North East,2000-08-01,40.31,602
603 Tasmania - South East,2000-08-01,42.24,603
604 Tasmania - West and North West,2000-08-01,43.99,604
701 Darwin,2000-08-01,31.68,701
702 Northern Territory - Outback,2000-08-01,41.27,702
801 Australian Capital Territory,2000-08-01,20.72,801
102 Central Coast,2001-08-01,36.67,102
115 Sydney - Baulkham Hills and Hawkesbury,2001-08-01,22.77,115
116 Sydney - Blacktown,2001-08-01,41.03,116
117 Sydney - City and Inner South,2001-08-01,23.59,117
118 Sydney - Eastern Suburbs,2001-08-01,16.04,118
119 Sydney - Inner South West,2001-08-01,35.57,119
120 Sydney - Inner West,2001-08-01,20.31,120
121 Sydney - North Sydney and Hornsby,2001-08-01,12.72,121
122 Sydney - Northern Beaches,2001-08-01,23.74,122
123 Sydney - Outer South West,2001-08-01,35.83,123
124 Sydney - Outer West and Blue Mountains,2001-08-01,39.39,124
125 Sydney - Parramatta,2001-08-01,37.54,125
126 Sydney - Ryde,2001-08-01,24.05,126
127 Sydney - South West,2001-08-01,44.00,127
128 Sydney - Sutherland,2001-08-01,24.59,128
101 Capital Region,2001-08-01,37.53,101
103 New South Wales - Central West,2001-08-01,40.73,103
104 Coffs Harbour - Grafton,2001-08-01,27.03,104
105 Far West and Orana,2001-08-01,33.19,105
106 Hunter Valley exc Newcastle,2001-08-01,40.49,106
107 Illawarra,2001-08-01,38.24,107
108 Mid North Coast,2001-08-01,37.16,108
109 Murray,2001-08-01,42.48,109
110 New England and North West,2001-08-01,37.52,110
111 Newcastle and Lake Macquarie,2001-08-01,35.80,111
112 Richmond - Tweed,2001-08-01,33.21,112
113 Riverina,2001-08-01,40.01,113
114 Southern Highlands and Shoalhaven,2001-08-01,38.15,114
206 Melbourne - Inner,2001-08-01,17.00,206
207 Melbourne - Inner East,2001-08-01,19.11,207
208 Melbourne - Inner South,2001-08-01,20.71,208
209 Melbourne - North East,2001-08-01,36.69,209
210 Melbourne - North West,2001-08-01,38.70,210
211 Melbourne - Outer East,2001-08-01,33.44,211
212 Melbourne - South East,2001-08-01,42.07,212
213 Melbourne - West,2001-08-01,42.91,213
214 Mornington Peninsula,2001-08-01,39.48,214
201 Ballarat,2001-08-01,36.59,201
202 Bendigo,2001-08-01,35.33,202
203 Geelong,2001-08-01,38.69,203
204 Hume,2001-08-01,38.00,204
205 Latrobe - Gippsland,2001-08-01,37.74,205
215 Victoria - North West,2001-08-01,33.55,215
216 Shepparton,2001-08-01,42.65,216
217 Warrnambool and South West,2001-08-01,37.42,217
301 Brisbane - East,2001-08-01,32.48,301
302 Brisbane - North,2001-08-01,31.16,302
303 Brisbane - South,2001-08-01,28.49,303
